IP Address,MAC Address,Hostname,Model Info,macOS Version,Model Identifier,Taille,Annee,Disk Free,RAM Info,Open Apps,Battery Status,Battery Details,Current User
172.17.18.37,a4:cf:99:7c:b4:b1,MBP274-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac14,7",13.2.1,"Mac14,7",13 pouces,2022,151Gi,"15G used, 3896M free",,"percent: 56, power_plugged: True, time_left: 8:52, drawing_from: Battery Power","cycle_count: 129, full_charge_capacity: None, condition: Normal",marcel_smartelia
172.17.18.29,6a:bd:69:11:76:55,MBP346-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac15,3",15.1.1,"Mac15,3",14 pouces,2023,297Gi,"15G used, 7623M free",,"percent: 89, power_plugged: True, time_left: 3:03, drawing_from: Battery Power","cycle_count: 159, full_charge_capacity: None, condition: Normal",denis_smartelia
172.17.18.119,10:9f:41:ba:e1:8a,MBP317-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac15,3",14.1,"Mac15,3",14 pouces,2023,285Gi,"15G used, 5648M free",,"percent: 93, power_plugged: True, time_left: 10:57, drawing_from: Battery Power","cycle_count: 156, full_charge_capacity: None, condition: Normal",dylan_smartelia
172.17.18.34,ca:b1:74:21:dd:90,MBP266-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac14,10",15.1.1,"Mac14,10",16 pouces,2023,134Gi,"14G used, 1387M free",,"percent: 48, power_plugged: True, time_left: 8:15, drawing_from: Battery Power","cycle_count: 187, full_charge_capacity: None, condition: Normal",floris_smartelia
172.17.18.2,Unknown,MBP276-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac14,7",14.4.1,"Mac14,7",13 pouces,2022,8.0Gi,"15G used, 5057M free",,"percent: 87, power_plugged: True, time_left: 8:42, drawing_from: Battery Power","cycle_count: 161, full_charge_capacity: None, condition: Normal",sasha_smartelia
172.17.18.27,10:9f:41:c5:b8:2d,MBP314-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac15,3",14.1,"Mac15,3",14 pouces,2023,207Gi,"15G used, 6868M free",,"percent: 70, power_plugged: True, time_left: 9:05, drawing_from: Battery Power","cycle_count: 160, full_charge_capacity: None, condition: Normal",noah_smartelia
172.17.18.22,16:a5:bc:4a:f7:2f,MBP191-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro17,1",15.1.1,"MacBookPro17,1",13 pouces,2020,145Gi,"15G used, 1606M free",,"percent: 50, power_plugged: True, time_left: 4:27, drawing_from: Battery Power","cycle_count: 478, full_charge_capacity: None, condition: Normal",christophe_smartelia
172.17.18.9,b0:be:83:5e:2d:35,MBP217-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro17,1",12.4,"MacBookPro17,1",13 pouces,2020,13Gi,"9045M used, 6777M free",,"percent: 84, power_plugged: True, time_left: None, drawing_from: AC Power","cycle_count: 284, full_charge_capacity: None, condition: Normal",mia_smartelia
172.17.18.217,Unknown,MBP224-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro17,1",14.4.1,"MacBookPro17,1",13 pouces,2020,124Gi,"15G used, 8458M free",,"percent: 73, power_plugged: True, time_left: 5:42, drawing_from: Battery Power","cycle_count: 348, full_charge_capacity: None, condition: Normal",jenna_smartelia
172.17.18.11,Unknown,MBP294-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac14,7",15.1.1,"Mac14,7",13 pouces,2022,81Gi,"15G used, 1080M free",,"percent: 70, power_plugged: True, time_left: 3:32, drawing_from: Battery Power","cycle_count: 222, full_charge_capacity: None, condition: Normal",larissa_smartelia
172.17.19.5,5c:e9:1e:6b:f7:15,MBP240-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac14,6",13.0,"Mac14,6",16 pouces,2023,250Gi,"18G used, 823M free",,"percent: 57, power_plugged: True, time_left: 1:01, drawing_from: AC Power","cycle_count: 362, full_charge_capacity: None, condition: Normal",nicolas_smartelia
172.17.18.216,Unknown,MBP156-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro17,1",15.1.1,"MacBookPro17,1",13 pouces,2020,112Gi,"15G used, 1977M free",,"percent: 79, power_plugged: True, time_left: 9:21, drawing_from: Battery Power","cycle_count: 470, full_charge_capacity: None, condition: Normal",leilla_smartelia
172.17.18.3,a4:cf:99:7e:e7:1b,MBP293-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac14,7",13.2.1,"Mac14,7",13 pouces,2022,18Gi,"15G used, 2642M free",,"percent: 90, power_plugged: True, time_left: 15:15, drawing_from: Battery Power","cycle_count: 193, full_charge_capacity: None, condition: Normal",loic_smartelia
172.17.19.24,10:9f:41:b9:7f:e1,MBP350-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac15,3",14.1,"Mac15,3",14 pouces,2023,325Gi,"15G used, 5656M free",,"percent: 72, power_plugged: True, time_left: 11:48, drawing_from: Battery Power","cycle_count: 157, full_charge_capacity: None, condition: Normal",anthony_smartelia
172.17.19.33,a4:83:e7:b2:19:b5,MBP130-SMARTELIA-2.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro15,2",13.6.6,"MacBookPro15,2",Unknown,Unknown,140Gi,"8102M used, 2293M free",,"percent: 75, power_plugged: True, time_left: 1:21, drawing_from: AC Power","cycle_count: 1358, full_charge_capacity: 4014, condition: Normal",stagiaire_vyperf
172.17.19.6,a4:cf:99:82:68:87,MBP272-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac14,7",13.2.1,"Mac14,7",13 pouces,2022,119Gi,"15G used, 1794M free",,"percent: 65, power_plugged: True, time_left: 6:06, drawing_from: Battery Power","cycle_count: 268, full_charge_capacity: None, condition: Normal",gabriel_smartelia
172.17.18.239,74:8f:3c:c3:c4:ae,MBP141-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro17,1",12.4,"MacBookPro17,1",13 pouces,2020,117Gi,"15G used, 264M free",,"percent: 64, power_plugged: True, time_left: 5:32, drawing_from: Battery Power","cycle_count: 727, full_charge_capacity: None, condition: Normal",fabienne_smartelia
172.17.18.240,Unknown,MBP247-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac14,7",14.4.1,"Mac14,7",13 pouces,2022,11Gi,"15G used, 6186M free",,"percent: 49, power_plugged: True, time_left: 4:12, drawing_from: Battery Power","cycle_count: 269, full_charge_capacity: None, condition: Normal",barthelemy_smartelia
172.17.18.238,a4:cf:99:72:1f:48,MBP259-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac14,7",14.1.1,"Mac14,7",13 pouces,2022,15Gi,"15G used, 7922M free",,"percent: 96, power_plugged: True, time_left: 8:39, drawing_from: Battery Power","cycle_count: 319, full_charge_capacity: None, condition: Normal",thiago_smartelia
172.17.18.229,2a:9f:ea:a0:ab:6a,MBP301-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac14,7",15.1.1,"Mac14,7",13 pouces,2022,75Gi,"15G used, 1459M free",,"percent: 93, power_plugged: True, time_left: 13:39, drawing_from: Battery Power","cycle_count: 159, full_charge_capacity: None, condition: Normal",virginie_smartelia
172.17.18.26,16:bc:5f:56:c2:26,MBP300-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac14,7",15.1.1,"Mac14,7",13 pouces,2022,145Gi,"15G used, 8053M free",,"percent: 63, power_plugged: True, time_left: 1:55, drawing_from: AC Power","cycle_count: 140, full_charge_capacity: None, condition: Normal",ismael_smartelia
172.17.18.15,be:68:be:71:e8:4c,MBP184-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro17,1",15.1.1,"MacBookPro17,1",13 pouces,2020,88Gi,"15G used, 44M free",,"percent: 79, power_plugged: True, time_left: 8:13, drawing_from: Battery Power","cycle_count: 315, full_charge_capacity: None, condition: Normal",nolan_smartelia
172.17.18.219,74:8f:3c:c3:f8:8c,MBP144-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro17,1",14.5,"MacBookPro17,1",13 pouces,2020,108Gi,"13G used, 636M free",,"percent: 44, power_plugged: True, time_left: 4:58, drawing_from: Battery Power","cycle_count: 751, full_charge_capacity: None, condition: Service Recommended",judith_b2p
